"meta:instanceID","Identificacao:Data","Identificacao:localGps:Latitude","Identificacao:localGps:Longitude","Identificacao:localGps:Altitude","Identificacao:localGps:Accuracy","Identificacao:Localizacao","Identificacao:Genero","Identificacao:ondemora","Identificacao:Idade","teste1","teste2","comunidade1","comunidade2","comunidade3","comunidade4","comunidade5","casa1","casa2","casa3","casa4","casa5","escola1","escola2","escola3","escola4","escola5","espacos1","espacos2","espacos3","espacos4","espacos5","pessoas1","pessoas2","pessoas3","pessoas4","pessoas5","eu1","eu2","eu3","eu4","eu5","FavelaNews1","FavelaNews2","FavelaNews3","FavelaNews4","FavelaNews5"
"uuid:db1a4be1-4178-44d7-b079-9f88f6870e89","Sun Jun 01 00:00:00 UTC 2014","-8.0150620546","-34.8528473172","10.1000000000","5.0000000000","null","M","Boa viagem","9","1","2","0","99","2","1","1","2","0","0","2","1","0","99","1","0","0","99","1","0","2","1","2","2","66","2","0","66","2","66","99","2","1","0","0","66","2"
"uuid:db99044a-d9f3-4a57-84f4-690e3ba3faba","Sun Jun 01 00:00:00 UTC 2014","-8.0150682153","-34.8528574593","24.6000000000","10.0000000000","null","F","Olinda","10","1","0","1","2","66","1","2","0","0","0","66","99","1","0","66","0","66","2","1","0","2","0","1","2","2","66","0","0","1","66","2","0","1","99","2","1","0"
"uuid:3bec9118-5b26-4603-8b75-dc7efbefb6a9","Mon Jun 02 00:00:00 UTC 2014","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"uuid:478a3125-e9a0-4ee8-a259-0bf89cd65e12","Mon Jun 02 00:00:00 UTC 2014","null","null","null","null","null","null","null","null","0","2","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"uuid:745aa249-2d9f-4acb-b48c-7fb71024ecfc","Mon Jun 02 00:00:00 UTC 2014","null","null","null","null","null","null","null","null","1","0","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"uuid:4bf80d0a-a54e-4921-a64e-61f12cebbf98","Mon Jun 02 00:00:00 UTC 2014","null","null","null","null","null","F","Maranguape1 paulista","12","0","1","0","0","0","1","1","0","2","1","0","0","1","0","0","0","0","1","0","0","0","1","0","0","2","2","0","0","1","0","0","0","1","2","0","0","0"
"uuid:099b2e64-03c6-4006-a9e1-9ebec05b39d9","Mon Jun 02 00:00:00 UTC 2014","null","null","null","null","Campo do banco varzea","F","Campo do banco varzea","9","1","1","0","1","1","2","0","0","0","1","0","1","0","2","1","2","0","1","1","0","0","2","2","0","0","0","0","0","0","0","0","1","1","1","2","0","1"
"uuid:62845fa9-3393-42ca-8d74-ed07cfcaed04","Wed Jun 02 00:00:00 UTC 2010","null","null","null","null","null","M","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"uuid:c8c43e22-3305-498e-bc3e-ec9a9bca2764","Mon Jun 02 00:00:00 UTC 2014","null","null","null","null","null","null","null","null","1","0","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"uuid:3c7118a4-6351-42da-832b-fa1ffbe2c1ce","Mon Jun 02 00:00:00 UTC 2014","null","null","null","null","null","null","null","null","0","0","1","2","2","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"uuid:324d5b47-7c2d-44f0-9262-1468f553f603","Wed Jun 04 00:00:00 UTC 2014","null","null","null","null","null","null","null","null","1","1","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"uuid:e8cd0bf0-2542-4c7b-8228-c143aa488e05","Mon Jun 02 00:00:00 UTC 2014","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"uuid:fa908193-f972-440b-8ebb-d986d8264690","Mon Jun 02 00:00:00 UTC 2014","null","null","null","null","null","null","null","null","null","null","null","0","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"uuid:1704f996-e9a7-4903-897e-3d7ad0c7fd08","Mon Jun 02 00:00:00 UTC 2014","-8.0500140041","-34.9538669363","20.4000000000","15.0000000000","null","null","null","null","1","0","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"uuid:e61c6e40-7f19-4fb5-a0ba-a6fb2644575f","Mon Jun 02 00:00:00 UTC 2014","-8.0495313000","-34.9551099000","0E-10","103.9840000000","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"uuid:c1b3a25a-ab00-4c1a-8ef1-1b152610b708","Mon Jun 02 00:00:00 UTC 2014","null","null","null","null","null","null","null","null","1","1","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"uuid:a2258469-d5f4-42cd-9111-1105c6457aed","Tue Jun 03 00:00:00 UTC 2014","-8.0227044831","-34.8778369943","-4.9631380380","25.0000000000","null","F","Rua professor Jos? dos anjos","10","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","2","2","0","1","66","1","0","99","2","2","0","0","1","0","1","1","1","1"
"uuid:218a739a-c3e8-4f3c-b9c5-35e852050ca9","Tue Jun 03 00:00:00 UTC 2014","-8.0261162000","-34.8887770000","0E-10","36.0000000000","null","M","Arruda","10","2","0","0","0","0","1","0","0","0","2","1","0","0","2","1","1","0","0","0","0","0","0","1","2","0","0","1","0","0","0","0","0","1","0","0","0","0"
"uuid:e8459352-ac4e-46b4-9838-02a8b6fdbadd","Tue Jun 03 00:00:00 UTC 2014","-8.0271747429","-34.8883797973","-8.5000000000","20.0000000000","null","M","Arruda","10","2","1","0","1","2","2","0","0","0","1","0","1","0","0","0","2","0","0","0","0","1","2","1","0","0","0","0","0","2","0","1","0","0","0","0","0","0"
"uuid:4b69e013-beb5-4207-b637-461553160006","Mon Jun 02 00:00:00 UTC 2014","-8.0495654000","-34.9552285000","0E-10","117.4050000000","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"uuid:5c262ce5-50bd-4df0-af74-190ab61b424c","Tue Jun 03 00:00:00 UTC 2014","-8.0211108970","-34.8802703898","-8.8000000000","10.0000000000","null","F","Ch?o de estrelas","11","0","1","0","0","1","2","2","0","0","1","0","1","1","2","0","2","1","1","2","2","0","0","2","0","1","1","0","0","0","0","0","0","0","2","0","0","0"
"uuid:610fe62d-ab7e-4eee-a615-34d9fa97ce64","Tue Jun 03 00:00:00 UTC 2014","-8.0211232184","-34.8803183343","-23.9000000000","10.0000000000","null","F","Ch?o de estrelas","12","0","1","0","0","0","2","2","0","0","2","0","1","0","2","0","2","0","1","1","2","0","2","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0"
"uuid:cdce4d81-0fd8-4662-9f97-0055f66e0bc6","Tue Jun 03 00:00:00 UTC 2014","-8.0224291972","-34.8773576232","-31.6800153013","15.0000000000","null","F","null","8","0","1","0","0","0","2","2","0","0","2","0","1","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","2","99","99","2","0"
"uuid:53be2630-08d0-41c0-9ef7-063b854eadcf","Mon Jun 02 00:00:00 UTC 2014","-8.0495580000","-34.9553485000","0E-10","67.5000000000","null","null","null","null","0","0","2","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"uuid:5c9e408b-c361-4766-978f-ed4c80eb73c1","Tue Jun 03 00:00:00 UTC 2014","null","null","null","null","null","F","Rebecca","12","0","1","0","0","2","1","0","0","0","2","1","1","0","2","2","0","1","2","1","0","2","1","1","2","2","1","0","1","2","0","0","2","0","0","0","1","0"
"uuid:013544a6-25c8-4a46-8b17-feaedcb66022","Tue Jun 03 00:00:00 UTC 2014","null","null","null","null","Av.professor jose dos anjos","F","Patricia","8","1","0","0","0","2","1","0","0","0","1","0","2","0","1","2","0","1","1","1","0","1","1","1","2","1","1","0","1","2","0","0","0","2","0","0","1","0"
"uuid:ee637e67-2a7e-47a1-b6e1-434e79a7eb57","Tue Jun 03 00:00:00 UTC 2014","-8.0269407621","-34.8882616125","0.3000000000","15.0000000000","null","M","Arruda","10","1","0","0","1","2","2","1","0","0","1","0","1","0","1","0","1","0","0","1","2","1","1","1","0","1","0","0","0","0","0","0","0","1","1","0","1","0"
"uuid:4d215756-8985-49f4-be47-e7440fc17cb0","Tue Jun 03 00:00:00 UTC 2014","-8.0232603391","-34.8778024370","0.3696771131","20.0000000000","null","M","Saramandaia","9","1","1","0","1","0","0","0","0","0","1","0","1","0","0","0","1","0","0","1","0","0","1","1","0","1","0","0","0","0","1","0","0","1","2","0","1","0"
"uuid:986a6dc3-050e-488c-9afc-55b0f75d2133","Tue Jun 03 00:00:00 UTC 2014","-8.0227136592","-34.8772513956","45.4883764954","30.0000000000","null","M","Saramandaia","8","1","1","0","0","1","1","1","0","1","1","1","1","1","1","2","1","1","1","2","1","1","0","0","1","1","1","2","0","1","1","0","1","1","1","0","1","1"
"uuid:1b915b93-8be2-4218-9c8a-f49ae170d7ba","Tue Jun 03 00:00:00 UTC 2014","null","null","null","null","null","M","Saramandia","12","0","2","0","0","0","2","2","0","0","2","2","1","0","2","2","2","0","2","2","1","1","0","1","1","2","2","0","1","2","0","0","1","0","2","1","0","0"
"uuid:c77adada-4706-4ef2-81a9-226c8b4faa97","Tue Jun 03 00:00:00 UTC 2014","-8.0263607763","-34.8867671192","-25.8000000000","15.0000000000","null","M","Arruda","11","1","0","0","1","1","1","0","0","0","1","0","0","0","2","0","2","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","2","0","1","0","0"
"uuid:0b92eeef-8ee6-4d2f-9478-7bb5da54d31f","Tue Jun 03 00:00:00 UTC 2014","null","null","null","null","Arruda","F","Arruda","Varzea","0","0","0","0","1","1","2","0","0","0","1","1","0","1","0","1","1","1","1","1","1","0","1","0","2","0","0","0","0","0","0","0","1","1","1","1","0"
